epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,99.8845,1.34599,1.00019,1.08681,0.99142,1,0.995,0.6122,1.39548,0.54021,1.11228,0.000779948,0.000779948,0.000779948
45,102.05,1.23729,0.9399,1.0575,0.991,1,0.995,0.60054,1.42137,0.55491,1.11815,0.000759318,0.000759318,0.000759318
46,104.212,1.3682,0.93732,1.05416,0.98726,1,0.995,0.61549,1.45267,0.58455,1.13239,0.000738689,0.000738689,0.000738689
47,105.74,1.29959,0.96521,1.03299,0.991,1,0.995,0.61837,1.42309,0.60477,1.13874,0.00071806,0.00071806,0.00071806
48,107.922,1.25636,0.82722,0.98898,0.99382,1,0.995,0.63722,1.38704,0.58358,1.12266,0.000697431,0.000697431,0.000697431
49,110.04,1.25146,0.87897,0.99975,0.99395,1,0.995,0.64602,1.36787,0.57469,1.11418,0.000676802,0.000676802,0.000676802
50,112.226,1.25284,0.88701,1.01147,0.99436,1,0.995,0.63815,1.39639,0.57895,1.11104,0.000656173,0.000656173,0.000656173
51,114.56,1.2955,0.87108,1.03191,0.99445,1,0.995,0.63287,1.39599,0.56871,1.11351,0.000635544,0.000635544,0.000635544
52,116.836,1.32164,0.85028,1.06777,0.99385,1,0.995,0.61881,1.38084,0.55369,1.10062,0.000614915,0.000614915,0.000614915
53,118.942,1.25047,0.8752,1.00342,0.99113,1,0.995,0.63598,1.39369,0.54942,1.11367,0.000594286,0.000594286,0.000594286
54,121.04,1.24771,0.80934,1.02058,0.98983,1,0.995,0.63427,1.40222,0.55915,1.12514,0.000573656,0.000573656,0.000573656
55,123.239,1.24661,0.8798,1.00363,0.99078,1,0.995,0.62444,1.38644,0.53572,1.11782,0.000553027,0.000553027,0.000553027
56,125.39,1.21978,0.81151,1.02154,0.99062,1,0.995,0.63214,1.40453,0.55482,1.10744,0.000532398,0.000532398,0.000532398
57,127.519,1.3033,0.84613,0.99138,0.99067,1,0.995,0.64133,1.3975,0.5464,1.10884,0.000511769,0.000511769,0.000511769
58,129.669,1.25524,0.81859,1.01056,0.99092,1,0.995,0.64307,1.38317,0.54035,1.10998,0.00049114,0.00049114,0.00049114
59,131.83,1.29603,0.80597,1.01772,0.9908,1,0.995,0.65868,1.36301,0.53165,1.0941,0.000470511,0.000470511,0.000470511
60,134.074,1.25303,0.81774,1.03792,0.99068,1,0.995,0.63782,1.42182,0.53909,1.11071,0.000449882,0.000449882,0.000449882
61,136.221,1.23973,0.7831,1.01501,0.98905,1,0.995,0.63637,1.44441,0.54171,1.1234,0.000429253,0.000429253,0.000429253
62,137.785,1.24728,0.83853,1.03587,0.98657,1,0.995,0.62833,1.46019,0.54059,1.13874,0.000408623,0.000408623,0.000408623
63,139.924,1.25745,0.75904,1.00745,0.98812,1,0.995,0.62844,1.41242,0.54411,1.11636,0.000387994,0.000387994,0.000387994
64,142.081,1.17003,0.75961,1.00746,0.99021,1,0.995,0.63937,1.36101,0.52989,1.10123,0.000367365,0.000367365,0.000367365
65,144.175,1.25743,0.82028,1.01766,0.99008,1,0.995,0.63454,1.36506,0.54082,1.10592,0.000346736,0.000346736,0.000346736
66,146.445,1.24478,0.80468,1.0371,0.9896,1,0.995,0.60307,1.38327,0.5273,1.10852,0.000326107,0.000326107,0.000326107
67,148.721,1.0768,0.74822,0.94358,0.99098,1,0.995,0.60164,1.43127,0.52079,1.1416,0.000305478,0.000305478,0.000305478
68,150.9,1.33248,0.88289,1.07104,0.99324,1,0.995,0.60737,1.4515,0.5365,1.14434,0.000284849,0.000284849,0.000284849
69,152.966,1.16214,0.73867,0.97433,0.99331,1,0.995,0.60727,1.45024,0.53601,1.13832,0.00026422,0.00026422,0.00026422
70,155.098,1.11452,0.71886,0.97984,0.99352,1,0.995,0.62011,1.41289,0.51207,1.11754,0.00024359,0.00024359,0.00024359
71,158.221,1.17455,0.84474,1.07476,0.9926,1,0.995,0.61398,1.38699,0.49187,1.09848,0.000222961,0.000222961,0.000222961
72,160.37,1.17989,0.81779,1.03718,0.9914,1,0.995,0.62869,1.39066,0.49238,1.10161,0.000202332,0.000202332,0.000202332
73,162.47,1.18673,0.80467,1.04104,0.99096,1,0.995,0.60801,1.39208,0.49307,1.10373,0.000181703,0.000181703,0.000181703
74,164.644,1.14404,0.78423,1.05241,0.99006,1,0.995,0.62283,1.39757,0.49424,1.1119,0.000161074,0.000161074,0.000161074
75,166.791,1.12521,0.7684,1.03302,0.99018,1,0.995,0.61436,1.40106,0.49845,1.10888,0.000140445,0.000140445,0.000140445
76,168.271,1.11523,0.77519,1.05178,0.9904,1,0.995,0.61385,1.41304,0.50283,1.11688,0.000119816,0.000119816,0.000119816
77,170.382,1.09015,0.76821,1.01962,0.99049,1,0.995,0.61924,1.41818,0.5054,1.12741,9.91865e-05,9.91865e-05,9.91865e-05
78,172.446,1.07451,0.75797,1.01744,0.99054,1,0.995,0.61213,1.42619,0.50466,1.13129,7.85574e-05,7.85574e-05,7.85574e-05
79,174.525,1.13622,0.79641,1.01638,0.99056,1,0.995,0.61281,1.43043,0.51161,1.13515,5.79283e-05,5.79283e-05,5.79283e-05
80,176.599,1.13201,0.81894,1.015,0.99066,1,0.995,0.61419,1.42962,0.50736,1.13351,3.72991e-05,3.72991e-05,3.72991e-05
